Logger Number,Shelter Number,Lizard Number,Date In,Time In,Date Out,Time out,Logger Depth,UTM East,UTM North,EPE(m),Roof,Floor,Azimuth,Width,Height,Depth,Shelter Type,Treatment,Month
-7805,J03,C-9,4/23/20,12:17,4/26/20,13:10,35,641623,4003092,5,5,1.5,140,11,14,51,RS,Potential,April
-7811,J06,C-9/24,5/6/20,9:04,5/9/20,9:33,36,641604,4002886,3,5,3,178,17,10,36,RS,Random,April
-3417,J06,C-9/24,5/6/20,8:40,5/9/20,9:33,50,641597,4002879,3,5,3,138,29,9,55,RS,Actual,April
-3418,J06,C-9/24,5/6/20,8:56,5/9/20,9:33,51,641594,4002886,3,5,2.5,149,25,7,55,RS,Potential,April
-3417,J09,C-13/15,5/27/20,8:52,5/30/20,10:12,37,642375,4002885,3,5,4.5,152,21,13,37,RS,Random,April
-7805,J09,C-13/15,5/27/20,8:36,5/30/20,10:08,57,642377,4002889,3,5,1,150,13,7,57,RS,Actual,April
-7804,J09,C-13/15,5/27/20,8:43,5/30/20,10:10,55,642367,4002885,3,5,1.5,157,17,6,55,RS,Potential,April
-3415,J19,C-20/31,5/29/20,9:29,6/3/20,9:06,22,642270,4002978,3,5,4,360,16,7,22,RS,Random,May
-7809,J19,C-20/31,5/29/20,9:25,6/3/20,8:58,45,642272,4002976,3,5,2,168,14,6,132,RS,Actual,May
-3418,J19,C-20/31,5/29/20,9:50,6/3/20,9:13,45,642265,4002908,3,5,1.5,150,18,13,116,RS,Potential,May
-7651,J21,C-24,5/22/20,12:48,5/26/20,11:08,37,641891,4002921,3,5,4,263,43,28,71,RS,Random,May
-7653,J21,C-24,5/22/20,12:41,5/26/20,10:57,67,641886,4002916,3,5,1,148,17,6,69,RS,Actual,May
-3417,J21,C-24,5/22/20,13:06,5/26/20,11:12,58,641931,4002866,3,5,1.5,151,16,8,67,RS,Potential,May
-7811,J24,C-13,5/15/20,11:34,5/19/20,9:07,30,641362,4002735,3,5,3.5,214,23,5,30,RS,Random,May
-7804,J24,C-13,5/15/20,11:18,5/19/20,9:06,54,641335,4002727,3,5,1.5,182,24,5,54,RS,Actual,May
-3418,J24,C-13,5/15/20,11:24,5/19/20,9:07,56,641362,4002728,3,5,2.5,206,21,7,56,RS,Potential,May
-3418,J26,C-24/13/9,5/21/20,11:57,5/26/20,10:43,88,641666,4003109,3,5,3.5,168,40,12,88,RS,Random,May
-7810,J26,C-24/13/9,5/21/20,11:39,5/26/20,10:36,75,641662,4003107,3,5,1.5,104,19,12,69,RS,Actual,May
-7804,J26,C-24/13/9,5/21/20,11:50,5/26/20,10:39,70,641648,4003109,3,5,2,96,17,10,70,RS,Potential,May
-7810,J37,C-3,5/30/20,11:00,6/3/20,9:58,50,641003,4002897,3,5,1.5,270,18,5,50,TB,Random,June
-7650,J37,C-3,5/30/20,10:54,6/3/20,9:57,99,641003,4002897,3,5,1.5,200,19,5,99,TB,Actual,June
-7649,J37,C-3,5/30/20,11:14,6/3/20,9:55,92,640997,4002931,3,5,1.5,220,26,9,95,TB,Potential,June
-3415,J38,C-31,6/10/20,19:37,6/16/20,8:30,36,642227,4002977,3,5,4,194,35,13,39,RS,Random,May
-7809,J38,C-31,6/10/20,19:32,6/16/20,8:27,50,642225,4002977,3,5,1.5,217,8,7,59,RS,Actual,May
-7806,J38,C-31,6/10/20,19:16,6/16/20,8:59,64,642091,4002898,3,5,2,215,11,6,64,RS,Potential,May
-7653,J39,C-3/9/13,5/28/20,11:00,5/31/20,11:43,52,641098,4002740,3,5,2,34,40,15,52,RS,Random,May
-7806,J39,C-3/9/13,5/28/20,10:49,5/31/20,11:41,67,641103,4002724,3,5,1,102,11,7,67,RS,Actual,May
-7807,J39,C-3/9/13,5/28/20,10:40,5/31/20,11:33,60,641129,4002712,3,5,1,120,15,7,60,RS,Potential,May
-3417,J68,C-25,7/22/20,6:26,7/26/20,6:20,17,643899,4003421,3,5,3,191,23,7.5,17,RS,Random,July
-3416,J68,C-25,7/22/20,6:16,7/26/20,6:18,61,643889,4003418,3,5,3,94,36,21,61,RS,Actual,July
-7809,J68,C-25,7/22/20,6:40,7/26/20,6:19,59,643889,4003405,3,5,3,94,42,16,59,RS,Potential,July
-7653,J80,C-13,7/18/20,9:46,7/22/20,6:51,61,641966,4002922,3,5,1.5,133,49,19,61,RS,Random,July
-7650,J80,C-13,7/18/20,9:42,7/22/20,7:05,86,641970,4002915,3,5,1.5,153,19,26,84,TB,Actual,July
-7649,J80,C-13,7/17/20,10:12,7/22/20,6:55,86,641023,4002933,3,5,2,159,23.5,19,86,TB,Potential,July
-7651,J89,C-8,7/24/20,6:28,7/30/20,9:24,11,641842,4001049,3,5,4,85,27,14,73,RS,Random,July
-7807,J89,C-8,7/24/20,5:55,7/30/20,9:09,160,642104,4000872,3,5,5,160,56,5,181,SC,Actual,July
-7650,J89,C-8,7/24/20,6:16,7/30/20,9:23,160,641851,4001045,3,5,5,184,53,8,160,SC,Potential,July
